INFO:train_maskablePPO_vecnorm:Creando 8 entornos paralelos con VecNormalize...
INFO:train_maskablePPO_vecnorm:Aplicando VecNormalize (obs y reward normalizados)...
INFO:train_maskablePPO_vecnorm:Usando arquitectura de politica: {'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}
INFO:train_maskablePPO_vecnorm:Entrenando MaskablePPO Fase 1 por 400000 timesteps...
Argumentos de entrenamiento:
  timesteps: 400000
  timesteps2: 400000
  timesteps3: 300000
  n_envs: 8
  seed: 42
  lr: 0.0003
  n_steps: 2048
  batch_size: 64
  n_epochs: 8
  gamma: 0.99
  gae_lambda: 0.95
  ent_coef: 0.02
  clip_range: 0.1
  vf_coef: 0.5
  max_grad_norm: 0.5
  policy_arch: {"pi":[256, 256], "vf":[256, 256]}
  eval_episodes: 50
  best_dir: best/mppo_ablation/mppo_conservative_clip_kl/seed_42/best
  plot_ma_long: 200
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 33.1     |
|    ep_rew_mean     | 43.6     |
| time/              |          |
|    fps             | 1758     |
|    iterations      | 1        |
|    time_elapsed    | 9        |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 44.9        |
| time/                   |             |
|    fps                  | 995         |
|    iterations           | 2           |
|    time_elapsed         | 32          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.005692114 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.1         |
|    entropy_loss         | -3.07       |
|    explained_variance   | -0.368      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.065       |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.00996    |
|    value_loss           | 0.32        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 33.4      |
|    ep_rew_mean          | 49.1      |
| time/                   |           |
|    fps                  | 857       |
|    iterations           | 3         |
|    time_elapsed         | 57        |
|    total_timesteps      | 49152     |
| train/                  |           |
|    approx_kl            | 0.0058965 |
|    clip_fraction        | 0.296     |
|    clip_range           | 0.1       |
|    entropy_loss         | -3.06     |
|    explained_variance   | 0.481     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.0128    |
|    n_updates            | 16        |
|    policy_gradient_loss | -0.00981  |
|    value_loss           | 0.237     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 49.4        |
| time/                   |             |
|    fps                  | 806         |
|    iterations           | 4           |
|    time_elapsed         | 81          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.005871524 |
|    clip_fraction        | 0.315       |
|    clip_range           | 0.1         |
|    entropy_loss         | -3.05       |
|    explained_variance   | 0.687       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0415     |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.0114     |
|    value_loss           | 0.196       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 54.3        |
| time/                   |             |
|    fps                  | 782         |
|    iterations           | 5           |
|    time_elapsed         | 104         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.005964864 |
|    clip_fraction        | 0.315       |
|    clip_range           | 0.1         |
|    entropy_loss         | -3.04       |
|    explained_variance   | 0.692       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0165      |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.0125     |
|    value_loss           | 0.208       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 54.5        |
| time/                   |             |
|    fps                  | 765         |
|    iterations           | 6           |
|    time_elapsed         | 128         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.006155709 |
|    clip_fraction        | 0.326       |
|    clip_range           | 0.1         |
|    entropy_loss         | -3.03       |
|    explained_variance   | 0.707       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0495      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0135     |
|    value_loss           | 0.213       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.2         |
|    ep_rew_mean          | 60           |
| time/                   |              |
|    fps                  | 751          |
|    iterations           | 7            |
|    time_elapsed         | 152          |
|    total_timesteps      | 114688       |
| train/                  |              |
|    approx_kl            | 0.0067992364 |
|    clip_fraction        | 0.345        |
|    clip_range           | 0.1          |
|    entropy_loss         | -3.01        |
|    explained_variance   | 0.714        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0536       |
|    n_updates            | 48           |
|    policy_gradient_loss | -0.0149      |
|    value_loss           | 0.23         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.4         |
|    ep_rew_mean          | 59.4         |
| time/                   |              |
|    fps                  | 740          |
|    iterations           | 8            |
|    time_elapsed         | 177          |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0071462146 |
|    clip_fraction        | 0.351        |
|    clip_range           | 0.1          |
|    entropy_loss         | -3           |
|    explained_variance   | 0.734        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.011        |
|    n_updates            | 56           |
|    policy_gradient_loss | -0.0149      |
|    value_loss           | 0.217        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.6         |
|    ep_rew_mean          | 60           |
| time/                   |              |
|    fps                  | 734          |
|    iterations           | 9            |
|    time_elapsed         | 200          |
